	380	389	401	405.2	420	441.9	479	499	537.9	571.9
ABi1	0.2	0.59881068	0.893635351	1.682196705	1.741256749	18.36052006	18.93524658	3.539834413	3.721886979	3.803975119
ABi2	0.3456	0.158861593	0.030107084	0.170286186	1.273204287	8.664018991	14.09707041	4.155592886	3.355097339	3.16893247
ABi3	0.2132	0.768926556	1.047061833	0.273450578	1.463653527	2.806755204	4.68203847	2.989405365	3.059210364	3.044021409
ABi5	0.2121	0.304169148	0.467177963	0.772085135	2.594387096	7.490036288	9.263192729	4.70716067	2.881076937	2.069844238
ABi6	0.1231	0.251390245	0.144616619	0.573346347	1.128008036	4.809532879	3.390566676	5.126738241	2.126738241	2.402209404
ABi7	0.0232	0.453999068	1.463448623	1.440515631	1.653551979	3.038160141	3.391255541	4.789758288	3.521432533	1.865274032
ALB1	0.03453	0.877503504	0.889818571	0.58264297	2.972374979	12.04682313	7.510916421	3.355097339	2.998425863	2.773695256
ALB2	0.5676	0.994848334	0.710364613	1.238024637	1.945908633	4.194645857	3.111343919	3.214364796	4.789758288	3.484758526
ALB3	0.567	0.660350062	0.236282338	1.009080411	1.46074352	10.5237398	10.03265148	2.333285915	2.838858771	3.113179919
ALB5	0.657	0.268638259	0.487339003	1.646104622	2.153773417	4.083178426	2.790940116	3.721886979	3.539834413	2.850444642
ALB6	0.356	0.594410554	0.279123196	2.387935423	2.570037946	14.20451192	7.70020124	5.755440588	3.369011157	2.195736165
ALB7	0.567	0.602567787	1.015420791	1.402782908	1.245808272	11.204727	17.0529017	3.521432533	3.289799443	3.147187631
CBi1	57.89	0.475638725	1.0232051	0.995487984	2.831759291	8.750562813	12.7774102	2.380416806	4.155592886	3.375260805
CBi2	15.6789	0.950203335	0.071706653	1.51322638	2.187444604	4.120056521	4.907221717	3.306927625	3.214364796	2.785053865
CBi3	43.21243	0.607270018	0.271045758	0.342836229	1.730369157	4.963129545	7.016693014	3.369011157	3.525869179	2.762898869
CBi5	45.5665	0.880073521	1.164262329	0.101646104	2.679057202	6.466371621	7.06134637	2.998425863	3.306927625	2.919592441
CBi6	30.8766	0.416306933	0.278520582	2.129464228	1.639752961	3.16632281	6.115435943	3.156396054	2.333285915	2.814365869
CBi7	46.789	0.394170795	0.969079731	1.409189571	2.236044141	11.74956693	17.02831498	2.838858771	3.156396054	3.289002684
CLB1	43.567	0.683340302	1.287442339	1.372815274	1.383036945	6.134628383	3.798090141	3.410194526	4.410194526	2.990809268
CLB2	67.989	0.685816752	0.03480993	1.987090951	2.910776674	11.30655424	17.72412724	2.881076937	3.167701517	3.485091406
CLB3	67.8989	0.287170613	1.932117534	1.578821616	2.186780329	9.204156031	12.94242603	3.525869179	2.989405365	3.94728187
CLB5	75.89	0.276930734	0.29333108	1.842256609	2.297620014	17.37584394	7.961966115	3.289799443	2.380416806	4.4384697
CLB6	70.876	0.87016705	0.795864434	1.730119009	1.905247036	3.42466031	2.996881669	3.167701517	3.70716067	3.292753594
CLB7	65.3214	0.299417261	1.613801248	1.290114853	1.723572426	6.125699393	4.530905211	3.059210364	3.755440588	3.061665081
