Sample	Contamination	Site
ABi1	Low	a
ABi2	Low	a
ABi3	Low	a
ABi5	Low	b
ABi6	Low	b
ABi7	Low	b
ALB1	Low	c
ALB2	Low	c
ALB3	Low	c
ALB5	Low	d
ALB6	Low	d
ALB7	Low	d
CBi1	High	e
CBi2	High	e
CBi3	High	e
CBi5	High	f
CBi6	High	f
CBi7	High	f
CLB1	High	g
CLB2	High	g
CLB3	High	g
CLB5	High	h
CLB6	High	h
CLB7	High	h
